dataset,scenario,seed,split,model,metric,accuracy,fit_seconds,predict_seconds,total_seconds,device,train_size,test_size,n_samples_total,n_features_raw,n_numeric_features,n_categorical_features,n_features_after_preprocessing,random_state,test_size_ratio,data_cache,input_representation,notes
bank_marketing,control_10k,42,bank_marketing_fixed_test_seed42_train10000,XGBoost,accuracy,0.9047,0.3637,0.062,0.4258,cpu,10000,9043,45211,16,7,9,51,42,0.2,data/raw/bank_marketing_openml.csv,median-impute numeric + one-hot categorical,Fixed test set + seed-specific 10k train subset in the unified Phase 4 mainline table.
bank_marketing,control_10k,42,bank_marketing_fixed_test_seed42_train10000,TabPFN v2,accuracy,0.9114,0.7444,13.0356,13.78,cuda,10000,9043,45211,16,7,9,16,42,0.2,data/raw/bank_marketing_openml.csv,median-impute numeric + ordinal categorical,Fixed test set + seed-specific 10k train subset within TabPFN support range; trained without ignore_pretraining_limits=True.
bank_marketing,control_10k,42,bank_marketing_fixed_test_seed42_train10000,TabICL,accuracy,0.9106,0.6112,4.8405,5.4517,cuda,10000,9043,45211,16,7,9,16,42,0.2,data/raw/bank_marketing_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),Fixed test set + seed-specific 10k train subset; uses TabICLClassifier with the official tabicl-classifier-v2-20260212.ckpt checkpoint.
bank_marketing,control_10k,43,bank_marketing_fixed_test_seed43_train10000,LightGBM,accuracy,0.9053,0.2597,0.0944,0.3541,cpu,10000,9043,45211,16,7,9,51,43,0.2,data/raw/bank_marketing_openml.csv,median-impute numeric + one-hot categorical,Fixed test set + seed-specific 10k train subset in the unified Phase 4 mainline table.
bank_marketing,control_10k,43,bank_marketing_fixed_test_seed43_train10000,XGBoost,accuracy,0.9036,0.3277,0.0557,0.3834,cpu,10000,9043,45211,16,7,9,51,43,0.2,data/raw/bank_marketing_openml.csv,median-impute numeric + one-hot categorical,Fixed test set + seed-specific 10k train subset in the unified Phase 4 mainline table.
bank_marketing,control_10k,43,bank_marketing_fixed_test_seed43_train10000,TabPFN v2,accuracy,0.9097,0.5284,13.9055,14.4339,cuda,10000,9043,45211,16,7,9,16,43,0.2,data/raw/bank_marketing_openml.csv,median-impute numeric + ordinal categorical,Fixed test set + seed-specific 10k train subset within TabPFN support range; trained without ignore_pretraining_limits=True.
bank_marketing,control_10k,43,bank_marketing_fixed_test_seed43_train10000,TabICL,accuracy,0.9093,0.6735,4.6598,5.3333,cuda,10000,9043,45211,16,7,9,16,43,0.2,data/raw/bank_marketing_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),Fixed test set + seed-specific 10k train subset; uses TabICLClassifier with the official tabicl-classifier-v2-20260212.ckpt checkpoint.
bank_marketing,control_10k,44,bank_marketing_fixed_test_seed44_train10000,LightGBM,accuracy,0.9063,0.3437,0.1275,0.4713,cpu,10000,9043,45211,16,7,9,51,44,0.2,data/raw/bank_marketing_openml.csv,median-impute numeric + one-hot categorical,Fixed test set + seed-specific 10k train subset in the unified Phase 4 mainline table.
bank_marketing,control_10k,44,bank_marketing_fixed_test_seed44_train10000,XGBoost,accuracy,0.9061,0.4389,0.0768,0.5156,cpu,10000,9043,45211,16,7,9,51,44,0.2,data/raw/bank_marketing_openml.csv,median-impute numeric + one-hot categorical,Fixed test set + seed-specific 10k train subset in the unified Phase 4 mainline table.
bank_marketing,control_10k,44,bank_marketing_fixed_test_seed44_train10000,TabPFN v2,accuracy,0.9079,1.0169,12.7827,13.7997,cuda,10000,9043,45211,16,7,9,16,44,0.2,data/raw/bank_marketing_openml.csv,median-impute numeric + ordinal categorical,Fixed test set + seed-specific 10k train subset within TabPFN support range; trained without ignore_pretraining_limits=True.
