dataset,train_size_label,train_size,seed,split,model,metric,accuracy,balanced_accuracy,macro_f1,fit_seconds,predict_seconds,total_seconds,device,test_size,n_samples_total,n_features_raw,n_numeric_features,n_categorical_features,n_features_after_preprocessing,random_state,test_size_ratio,data_cache,input_representation,notes
adult,8192,8192,42,adult_fixed_test_seed42_train8192,TabICL,accuracy,0.8682,0.7852,0.8052,0.4581,4.1469,4.605,cuda,9769,48842,14,6,8,14,42,0.2,data/raw/adult_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),Phase 5 scalability train-size row; seed-specific stratified train subset with train_size=8192; uses the official tabicl-classifier-v2-20260212.ckpt checkpoint.
adult,8192,8192,43,adult_fixed_test_seed43_train8192,LightGBM,accuracy,0.8688,0.7944,0.8098,0.26,0.0993,0.3593,cpu,9769,48842,14,6,8,104,43,0.2,data/raw/adult_openml.csv,median-impute numeric + one-hot categorical,Phase 5 scalability train-size row with train_size=8192 and the fixed Phase 4 baseline settings.
adult,8192,8192,43,adult_fixed_test_seed43_train8192,XGBoost,accuracy,0.8691,0.7927,0.8093,0.3298,0.0536,0.3834,cpu,9769,48842,14,6,8,104,43,0.2,data/raw/adult_openml.csv,median-impute numeric + one-hot categorical,Phase 5 scalability train-size row with train_size=8192 and the fixed Phase 4 baseline settings.
adult,8192,8192,43,adult_fixed_test_seed43_train8192,TabPFN v2,accuracy,0.8627,0.7843,0.8002,0.3169,10.098,10.4149,cuda,9769,48842,14,6,8,14,43,0.2,data/raw/adult_openml.csv,median-impute numeric + ordinal categorical,Phase 5 scalability train-size row; seed-specific stratified train subset with train_size=8192; trained within TabPFN support range.
adult,8192,8192,43,adult_fixed_test_seed43_train8192,TabICL,accuracy,0.8707,0.7915,0.8102,0.4338,4.0889,4.5227,cuda,9769,48842,14,6,8,14,43,0.2,data/raw/adult_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),Phase 5 scalability train-size row; seed-specific stratified train subset with train_size=8192; uses the official tabicl-classifier-v2-20260212.ckpt checkpoint.
adult,8192,8192,44,adult_fixed_test_seed44_train8192,LightGBM,accuracy,0.8661,0.7936,0.8072,0.2556,0.1013,0.3569,cpu,9769,48842,14,6,8,104,44,0.2,data/raw/adult_openml.csv,median-impute numeric + one-hot categorical,Phase 5 scalability train-size row with train_size=8192 and the fixed Phase 4 baseline settings.
adult,8192,8192,44,adult_fixed_test_seed44_train8192,XGBoost,accuracy,0.8669,0.7847,0.8039,0.3264,0.0506,0.377,cpu,9769,48842,14,6,8,104,44,0.2,data/raw/adult_openml.csv,median-impute numeric + one-hot categorical,Phase 5 scalability train-size row with train_size=8192 and the fixed Phase 4 baseline settings.
adult,8192,8192,44,adult_fixed_test_seed44_train8192,TabPFN v2,accuracy,0.8548,0.7681,0.7861,0.3001,10.07,10.3701,cuda,9769,48842,14,6,8,14,44,0.2,data/raw/adult_openml.csv,median-impute numeric + ordinal categorical,Phase 5 scalability train-size row; seed-specific stratified train subset with train_size=8192; trained within TabPFN support range.
adult,8192,8192,44,adult_fixed_test_seed44_train8192,TabICL,accuracy,0.8642,0.7828,0.8007,0.4511,4.1024,4.5535,cuda,9769,48842,14,6,8,14,44,0.2,data/raw/adult_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),Phase 5 scalability train-size row; seed-specific stratified train subset with train_size=8192; uses the official tabicl-classifier-v2-20260212.ckpt checkpoint.
adult,8192,8192,45,adult_fixed_test_seed45_train8192,LightGBM,accuracy,0.8683,0.7878,0.8065,0.26,0.0961,0.3561,cpu,9769,48842,14,6,8,104,45,0.2,data/raw/adult_openml.csv,median-impute numeric + one-hot categorical,Phase 5 scalability train-size row with train_size=8192 and the fixed Phase 4 baseline settings.
adult,8192,8192,45,adult_fixed_test_seed45_train8192,XGBoost,accuracy,0.8727,0.7867,0.8098,0.3166,0.0513,0.3679,cpu,9769,48842,14,6,8,104,45,0.2,data/raw/adult_openml.csv,median-impute numeric + one-hot categorical,Phase 5 scalability train-size row with train_size=8192 and the fixed Phase 4 baseline settings.
